id,name,completed_at,items_count,items_url,position,prerequisite_module_ids,publish_final_grade,require_sequential_progress,requirement_type,state,unlock_at
10500000005769638,Academic Integrity in EECS,2025-08-26T14:28:16Z,6,https://canvas.instructure.com/api/v1/courses/1050~2426582/modules/1050~5769638/items,1,[],False,False,all,completed,
10500000005749039,Week 1,2025-08-26T14:28:16Z,19,https://canvas.instructure.com/api/v1/courses/1050~2426582/modules/1050~5749039/items,2,[],False,False,all,completed,
10500000005749040,Week 2,2025-08-26T14:28:17Z,21,https://canvas.instructure.com/api/v1/courses/1050~2426582/modules/1050~5749040/items,3,[],False,False,all,completed,
10500000005749041,Week 3,2025-08-26T14:28:17Z,19,https://canvas.instructure.com/api/v1/courses/1050~2426582/modules/1050~5749041/items,4,[],False,False,all,completed,
10500000005749042,Week 4,2025-08-26T14:28:17Z,19,https://canvas.instructure.com/api/v1/courses/1050~2426582/modules/1050~5749042/items,5,[],False,False,all,completed,
10500000005749043,Week 5,2025-08-26T14:28:18Z,17,https://canvas.instructure.com/api/v1/courses/1050~2426582/modules/1050~5749043/items,6,[],False,False,all,completed,
10500000005749044,Week 6,2025-08-26T14:28:18Z,16,https://canvas.instructure.com/api/v1/courses/1050~2426582/modules/1050~5749044/items,7,[],False,False,all,completed,
10500000005749045,Week 7,2025-08-26T14:28:18Z,20,https://canvas.instructure.com/api/v1/courses/1050~2426582/modules/1050~5749045/items,8,[],False,False,all,completed,
10500000005749046,Week 8,2025-08-26T14:28:18Z,20,https://canvas.instructure.com/api/v1/courses/1050~2426582/modules/1050~5749046/items,9,[],False,False,all,completed,
10500000005749047,Week 9,2025-08-26T14:28:18Z,17,https://canvas.instructure.com/api/v1/courses/1050~2426582/modules/1050~5749047/items,10,[],False,False,all,completed,
10500000005749048,Week 10,2025-08-26T14:28:18Z,16,https://canvas.instructure.com/api/v1/courses/1050~2426582/modules/1050~5749048/items,11,[],False,False,all,completed,
10500000005749049,Week 11,2025-08-26T14:28:19Z,10,https://canvas.instructure.com/api/v1/courses/1050~2426582/modules/1050~5749049/items,12,[],False,False,all,completed,
10500000005749050,Week 12,2025-08-26T14:28:19Z,19,https://canvas.instructure.com/api/v1/courses/1050~2426582/modules/1050~5749050/items,13,[],False,False,all,completed,
10500000005749053,Week 13,2025-08-26T14:28:19Z,12,https://canvas.instructure.com/api/v1/courses/1050~2426582/modules/1050~5749053/items,14,[],False,False,all,completed,
10500000005749054,Week 14,2025-08-26T14:28:19Z,1,https://canvas.instructure.com/api/v1/courses/1050~2426582/modules/1050~5749054/items,15,[],False,False,all,completed,
10500000005749055,Week 15,2025-08-26T14:28:19Z,12,https://canvas.instructure.com/api/v1/courses/1050~2426582/modules/1050~5749055/items,16,[],False,False,all,completed,
10500000005749056,Week 16,2025-08-26T14:28:19Z,11,https://canvas.instructure.com/api/v1/courses/1050~2426582/modules/1050~5749056/items,17,[],False,False,all,completed,
10500000005749057,Final Exam,2025-08-26T14:28:20Z,1,https://canvas.instructure.com/api/v1/courses/1050~2426582/modules/1050~5749057/items,18,[],False,False,all,completed,
