id,name,description,due_at,lock_at,created_at,points_possible,submission_types,workflow_state,html_url,_requester,allowed_attempts,annotatable_attachment_id,anonymize_students,anonymous_grading,anonymous_instructor_annotations,anonymous_peer_reviews,assignment_group_id,automatic_peer_reviews,can_duplicate,course_id,created_at_date,due_at_date,due_date_required,final_grader_id,grade_group_students_individually,graded_submissions_exist,grader_comments_visible_to_graders,grader_count,grader_names_visible_to_final_grader,graders_anonymous_to_graders,grading_standard_id,grading_type,group_category_id,has_submitted_submissions,hide_in_gradebook,important_dates,in_closed_grading_period,intra_group_peer_reviews,is_quiz_assignment,locked_for_user,lti_context_id,max_name_length,moderated_grading,muted,omit_from_final_grade,only_visible_to_overrides,original_assignment_id,original_assignment_name,original_course_id,original_lti_resource_link_id,original_quiz_id,peer_reviews,position,post_manually,post_to_sis,published,require_lockdown_browser,restrict_quantitative_data,secure_params,submissions_download_url,suppress_assignment,unlock_at,updated_at,updated_at_date,visible_to_everyone
10500000016380828,TPS Points (Updated Around Each Exam),,,,2024-08-19T18:53:29Z,1500.0,"[""on_paper""]",published,https://canvas.instructure.com/courses/10500000002349828/assignments/1050~16380828,"""<canvasapi.requester.Requester object at 0x0000016CDD30B7D0>""",-1,,False,False,False,False,10500000004067023,False,True,10500000002349828,"""2024-08-19 18:53:29+00:00""",,False,,False,True,True,0,True,False,,points,,False,False,False,False,False,False,False,d1cc474d-20e2-40ff-9322-03f20d48ff3d,255,False,True,False,False,,,,,,False,1,False,False,True,False,False,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJsdGlfYXNzaWdubWVudF9pZCI6ImQxY2M0NzRkLTIwZTItNDBmZi05MzIyLTAzZjIwZDQ4ZmYzZCJ9.65WtypVmNWbS7YOldbbdjdjOI_GooPJ27h4GY7o1QZs,https://canvas.instructure.com/courses/1050~2349828/assignments/1050~16380828/submissions?zip=1,False,,2024-08-19T18:53:29Z,"""2024-08-19 18:53:29+00:00""",True
10500000016380815,"Exam 1 (Chapters 1, 2, 3, 5, 4, 19)",<p>This exam will take place in the normal class time.</p>,2024-10-02T18:30:00Z,,2024-08-19T18:53:26Z,1800.0,"[""on_paper""]",published,https://canvas.instructure.com/courses/10500000002349828/assignments/1050~16380815,"""<canvasapi.requester.Requester object at 0x0000016CDD30B7D0>""",-1,,False,False,False,False,10500000004067024,False,True,10500000002349828,"""2024-08-19 18:53:26+00:00""","""2024-10-02 18:30:00+00:00""",False,,False,True,True,0,True,False,,points,,False,False,False,False,False,False,False,1a46a0c0-2480-44ef-9953-cf719274505c,255,False,True,False,False,,,,,,False,1,False,False,True,False,False,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJsdGlfYXNzaWdubWVudF9pZCI6IjFhNDZhMGMwLTI0ODAtNDRlZi05OTUzLWNmNzE5Mjc0NTA1YyIsImx0aV9hc3NpZ25tZW50X2Rlc2NyaXB0aW9uIjoiXHUwMDNjcFx1MDAzZVRoaXMgZXhhbSB3aWxsIHRha2UgcGxhY2UgaW4gdGhlIG5vcm1hbCBjbGFzcyB0aW1lLlx1MDAzYy9wXHUwMDNlIn0.bc-nUiBl0zoeyrRCN2P3bfudDehEKt-7RXCzCZeiJXk,https://canvas.instructure.com/courses/1050~2349828/assignments/1050~16380815/submissions?zip=1,False,,2024-09-23T21:55:23Z,"""2024-09-23 21:55:23+00:00""",True
10500000016380818,"Exam 2 (Chapters 7, 8, 9, 12, 13, 14)",<p>This exam will take place in the normal class time.</p>,2024-11-06T19:30:00Z,,2024-08-19T18:53:27Z,1800.0,"[""on_paper""]",published,https://canvas.instructure.com/courses/10500000002349828/assignments/1050~16380818,"""<canvasapi.requester.Requester object at 0x0000016CDD30B7D0>""",-1,,False,False,False,False,10500000004067024,False,True,10500000002349828,"""2024-08-19 18:53:27+00:00""","""2024-11-06 19:30:00+00:00""",False,,False,True,True,0,True,False,,points,,False,False,False,False,False,False,False,c024fdbe-7505-40ec-a8f0-5b82a2dff156,255,False,True,False,False,,,,,,False,2,False,False,True,False,False,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJsdGlfYXNzaWdubWVudF9pZCI6ImMwMjRmZGJlLTc1MDUtNDBlYy1hOGYwLTViODJhMmRmZjE1NiIsImx0aV9hc3NpZ25tZW50X2Rlc2NyaXB0aW9uIjoiXHUwMDNjcFx1MDAzZVRoaXMgZXhhbSB3aWxsIHRha2UgcGxhY2UgaW4gdGhlIG5vcm1hbCBjbGFzcyB0aW1lLlx1MDAzYy9wXHUwMDNlIn0.3WUAatlB9qePxi_LuQOO94g5InzOHmRKKDqqi4hBu_M,https://canvas.instructure.com/courses/1050~2349828/assignments/1050~16380818/submissions?zip=1,False,,2024-09-23T21:55:29Z,"""2024-09-23 21:55:29+00:00""",True
10500000016380821,"Exam 3 (Chapters 6, 16, 17, 18, Behavioral Economics)",<p>This exam will take place in the normal class time.</p>,2024-12-06T19:30:00Z,,2024-08-19T18:53:28Z,1800.0,"[""on_paper""]",published,https://canvas.instructure.com/courses/10500000002349828/assignments/1050~16380821,"""<canvasapi.requester.Requester object at 0x0000016CDD30B7D0>""",-1,,False,False,False,False,10500000004067024,False,True,10500000002349828,"""2024-08-19 18:53:28+00:00""","""2024-12-06 19:30:00+00:00""",False,,False,True,True,0,True,False,,points,,False,False,False,False,False,False,False,89261cdc-0827-4fc2-b475-ab1cb7f55e78,255,False,True,False,False,,,,,,False,3,False,False,True,False,False,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJsdGlfYXNzaWdubWVudF9pZCI6Ijg5MjYxY2RjLTA4MjctNGZjMi1iNDc1LWFiMWNiN2Y1NWU3OCIsImx0aV9hc3NpZ25tZW50X2Rlc2NyaXB0aW9uIjoiXHUwMDNjcFx1MDAzZVRoaXMgZXhhbSB3aWxsIHRha2UgcGxhY2UgaW4gdGhlIG5vcm1hbCBjbGFzcyB0aW1lLlx1MDAzYy9wXHUwMDNlIn0.2VD6I7LJc-R0FljycdPMRDqnxrjXLcDux0YSIBRmw4U,https://canvas.instructure.com/courses/1050~2349828/assignments/1050~16380821/submissions?zip=1,False,,2024-09-23T21:55:36Z,"""2024-09-23 21:55:36+00:00""",True
10500000016380824,Final Exam (in Forum 111),"<p>This exam will take place in Forum 111 on Monday, December 16&nbsp; at 10:10 AM</p>",2024-12-16T15:10:00Z,,2024-08-19T18:53:28Z,1600.0,"[""on_paper""]",published,https://canvas.instructure.com/courses/10500000002349828/assignments/1050~16380824,"""<canvasapi.requester.Requester object at 0x0000016CDD30B7D0>""",-1,,False,False,False,False,10500000004067024,False,True,10500000002349828,"""2024-08-19 18:53:28+00:00""","""2024-12-16 15:10:00+00:00""",False,,False,True,True,0,True,False,,points,,False,False,False,False,False,False,False,a15b0ca9-6046-40f8-a0f4-dacb05e91375,255,False,True,False,False,,,,,,False,4,False,False,True,False,False,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJsdGlfYXNzaWdubWVudF9pZCI6ImExNWIwY2E5LTYwNDYtNDBmOC1hMGY0LWRhY2IwNWU5MTM3NSIsImx0aV9hc3NpZ25tZW50X2Rlc2NyaXB0aW9uIjoiXHUwMDNjcFx1MDAzZVRoaXMgZXhhbSB3aWxsIHRha2UgcGxhY2UgaW4gRm9ydW0gMTExIG9uIE1vbmRheSwgRGVjZW1iZXIgMTZcdTAwMjZuYnNwOyBhdCAxMDoxMCBBTVx1MDAzYy9wXHUwMDNlIn0.o-RfMVkJu70evPOy4N3atycbHFhJj1BQmmQWEV9JAfM,https://canvas.instructure.com/courses/1050~2349828/assignments/1050~16380824/submissions?zip=1,False,,2024-12-12T03:15:58Z,"""2024-12-12 03:15:58+00:00""",True
10500000016380825,Homework Grade (Will be calculated at the end of the course),,2024-12-17T04:59:00Z,,2024-08-19T18:53:29Z,1500.0,"[""on_paper""]",published,https://canvas.instructure.com/courses/10500000002349828/assignments/1050~16380825,"""<canvasapi.requester.Requester object at 0x0000016CDD30B7D0>""",-1,,False,False,False,False,10500000004019870,False,True,10500000002349828,"""2024-08-19 18:53:29+00:00""","""2024-12-17 04:59:00+00:00""",False,,False,True,True,0,True,False,,points,,False,False,False,False,False,False,False,383b828b-3498-448f-b0a2-235bfb450344,255,False,True,False,False,,,,,,False,1,False,False,True,False,False,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJsdGlfYXNzaWdubWVudF9pZCI6IjM4M2I4MjhiLTM0OTgtNDQ4Zi1iMGEyLTIzNWJmYjQ1MDM0NCJ9.M2S-aCJbW9_Er9mscBFD2X-doezeDFzp9zfcMRzVdio,https://canvas.instructure.com/courses/1050~2349828/assignments/1050~16380825/submissions?zip=1,False,,2024-12-13T23:03:44Z,"""2024-12-13 23:03:44+00:00""",True
10500000016380826,SEEQ Extra Credit,<p>Please write your favorite TV show and/or your favorite movie. As long as you write something you'll receive the full points for the extra credit.</p>,2024-12-17T04:59:59Z,,2024-08-19T18:53:29Z,50.0,"[""online_text_entry""]",published,https://canvas.instructure.com/courses/10500000002349828/assignments/1050~16380826,"""<canvasapi.requester.Requester object at 0x0000016CDD30B7D0>""",-1,,False,False,False,False,10500000004019870,False,True,10500000002349828,"""2024-08-19 18:53:29+00:00""","""2024-12-17 04:59:59+00:00""",False,,False,True,True,0,True,False,,pass_fail,,True,False,False,False,False,False,False,7233f0dc-f4ac-4a36-8e7f-f209092310fe,255,False,True,False,False,,,,,,False,2,False,False,True,False,False,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJsdGlfYXNzaWdubWVudF9pZCI6IjcyMzNmMGRjLWY0YWMtNGEzNi04ZTdmLWYyMDkwOTIzMTBmZSIsImx0aV9hc3NpZ25tZW50X2Rlc2NyaXB0aW9uIjoiXHUwMDNjcFx1MDAzZVBsZWFzZSB3cml0ZSB5b3VyIGZhdm9yaXRlIFRWIHNob3cgYW5kL29yIHlvdXIgZmF2b3JpdGUgbW92aWUuIEFzIGxvbmcgYXMgeW91IHdyaXRlIHNvbWV0aGluZyB5b3UnbGwgcmVjZWl2ZSB0aGUgZnVsbCBwb2ludHMgZm9yIHRoZSBleHRyYSBjcmVkaXQuXHUwMDNjL3BcdTAwM2UifQ.W6dREQxjc3G4NOo8rKe5Rka-RmKx3dh2tuBTblapt28,https://canvas.instructure.com/courses/1050~2349828/assignments/1050~16380826/submissions?zip=1,False,,2024-12-10T02:21:15Z,"""2024-12-10 02:21:15+00:00""",True
10500000016380816,Exam 1 Free Response Grade (Out of 8),,,,2024-08-19T18:53:27Z,8.0,"[""on_paper""]",published,https://canvas.instructure.com/courses/10500000002349828/assignments/1050~16380816,"""<canvasapi.requester.Requester object at 0x0000016CDD30B7D0>""",-1,,False,False,False,False,10500000004067025,False,True,10500000002349828,"""2024-08-19 18:53:27+00:00""",,False,,False,True,True,0,True,False,,points,,False,False,False,False,False,False,False,bd920596-7042-49ac-8626-4c20fff5bac0,255,False,True,True,False,,,,,,False,1,False,False,True,False,False,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJsdGlfYXNzaWdubWVudF9pZCI6ImJkOTIwNTk2LTcwNDItNDlhYy04NjI2LTRjMjBmZmY1YmFjMCJ9.GQ_LamI53-DmvifWPAJiiDuSyvMJcgj1JDmz6dsYnno,https://canvas.instructure.com/courses/1050~2349828/assignments/1050~16380816/submissions?zip=1,False,,2024-08-19T18:53:27Z,"""2024-08-19 18:53:27+00:00""",True
10500000016380817,Exam 1 Multiple Choice Grade (out of 14),,,,2024-08-19T18:53:27Z,14.0,"[""on_paper""]",published,https://canvas.instructure.com/courses/10500000002349828/assignments/1050~16380817,"""<canvasapi.requester.Requester object at 0x0000016CDD30B7D0>""",-1,,False,False,False,False,10500000004067025,False,True,10500000002349828,"""2024-08-19 18:53:27+00:00""",,False,,False,True,True,0,True,False,,points,,False,False,False,False,False,False,False,3fda1ded-320f-4b62-9e89-964161fa0632,255,False,True,True,False,,,,,,False,2,False,False,True,False,False,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJsdGlfYXNzaWdubWVudF9pZCI6IjNmZGExZGVkLTMyMGYtNGI2Mi05ZTg5LTk2NDE2MWZhMDYzMiJ9.rJ04EDH3CWAJR6t9vHw5MW3INRI2Qp0-uATaVTR8iRs,https://canvas.instructure.com/courses/1050~2349828/assignments/1050~16380817/submissions?zip=1,False,,2024-08-19T18:53:27Z,"""2024-08-19 18:53:27+00:00""",True
10500000016380819,Exam 2 Free Response (Out of 7),,,,2024-08-19T18:53:27Z,7.0,"[""on_paper""]",published,https://canvas.instructure.com/courses/10500000002349828/assignments/1050~16380819,"""<canvasapi.requester.Requester object at 0x0000016CDD30B7D0>""",-1,,False,False,False,False,10500000004067025,False,True,10500000002349828,"""2024-08-19 18:53:27+00:00""",,False,,False,True,True,0,True,False,,points,,False,False,False,False,False,False,False,bcd5a6bf-e0cb-4be5-a752-59958193deaa,255,False,True,False,False,,,,,,False,3,False,False,True,False,False,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJsdGlfYXNzaWdubWVudF9pZCI6ImJjZDVhNmJmLWUwY2ItNGJlNS1hNzUyLTU5OTU4MTkzZGVhYSJ9.C0RwOdgcb_Qmxn-MAgY79F9QUf9_psYOYwrS4qSOkfg,https://canvas.instructure.com/courses/1050~2349828/assignments/1050~16380819/submissions?zip=1,False,,2024-08-19T18:53:27Z,"""2024-08-19 18:53:27+00:00""",True
10500000016380820,Exam 2 Multiple Choice (out of 14),,,,2024-08-19T18:53:28Z,14.0,"[""on_paper""]",published,https://canvas.instructure.com/courses/10500000002349828/assignments/1050~16380820,"""<canvasapi.requester.Requester object at 0x0000016CDD30B7D0>""",-1,,False,False,False,False,10500000004067025,False,True,10500000002349828,"""2024-08-19 18:53:28+00:00""",,False,,False,True,True,0,True,False,,points,,False,False,False,False,False,False,False,c66463bc-abf6-494e-b067-afdcd4c7be40,255,False,True,False,False,,,,,,False,4,False,False,True,False,False,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJsdGlfYXNzaWdubWVudF9pZCI6ImM2NjQ2M2JjLWFiZjYtNDk0ZS1iMDY3LWFmZGNkNGM3YmU0MCJ9.h5pk4O9fJM3ohPEUH54jxsMk6N-YH7q2AXLvoqDntDY,https://canvas.instructure.com/courses/1050~2349828/assignments/1050~16380820/submissions?zip=1,False,,2024-08-19T18:53:28Z,"""2024-08-19 18:53:28+00:00""",True
